,date,price(RMB/ton),highest(RMB/ton),lower(RMB/ton),close(RMB/ton),upper(percent),daily_total_volume(tons),daily_total_transaction_volume(RMB)
229,2024/1/18,72.00,72.00,72.00,72.00,0 ,8,560.00
230,2024/1/17,72.00,72.00,72.00,72.00,0 ,"28,690","2,151,750.00"
231,2024/1/16,72.33,72.33,72.00,72.00,- 0.46%,"73,652","5,155,740.00"
232,2024/1/15,72.33,72.33,72.33,72.33,- 0.01%,500,"35,500.00"
233,2024/1/12,72.34,72.34,72.34,72.34,0 ,100,"7,100.00"
234,2024/1/11,72.34,72.34,72.34,72.34,+ 0.01%,8,568.16
235,2024/1/10,71.00,72.33,71.00,72.33,+ 1.86%,"182,986","14,023,550.00"
236,2024/1/9,71.01,71.01,71.01,71.01,+ 0.01%,"100,008","7,800,568.16"
237,2024/1/8,73.52,73.52,71.00,71.00,- 3.22%,600,"42,600.00"
238,2024/1/5,75.85,75.85,73.36,73.36,- 2.17%,"150,005","10,956,352.50"
239,2024/1/4,74.08,76.81,74.08,74.99,- 2.37%,"299,174","19,757,529.00"
240,2024/1/3,76.81,76.81,76.81,76.81,0 ,"607,393","40,867,570.00"
241,2024/1/2,76.81,76.81,76.81,76.81,- 3.29%,"125,400","7,247,938.00"
